"Numéro";"Idren";"N° de Renard";"Saison";"Date";"saisonreprod";"GIC";"Lieu-Dit";"Communes";"id-SIG";"Poids";"Sexe";"Mode de Prél";"Allait Fdc";"Nbre d'Emb Fdc";"Prél Utérus";"Phase pré-implantatoire";"Nbre d'Emb";"Nbre de Cicat Année n";"Nbre de Resorp -tions";"Nbre de Cicat Année n-1";"Nbre de corps jaunes";"Prél Dent";"N° Mat";"Agedents";"Prél Yeux";"Age";"moisp"
65;"D0FI0";"I    0";"2000/2001";30/11/2000 00:00:00;0;"D";"La Jaille";"SAINT ARMEL";;;"F";"P";"N";;"N";;;;;;;"N";;;;;11
66;"D0FI1";"I    1";"2000/2001";30/11/2000 00:00:00;0;"D";"Le Val au Croyal n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;11
165;"D0FI100";"I    100";"2000/2001";10/1/2001 00:00:00;0;"D";"Les tesnière";"TORCE";;5.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
166;"D0FI101";"I    101";"2000/2001";10/1/2001 00:00:00;0;"D";"Les epinays";"DOMAGNE";;5.60;"F";"P";"N";;"N";;;;;;;"N";;;;;1
177;"D0FI111";"I    111";"2000/2001";11/1/2001 00:00:00;0;"D";"La hardouillère";"DOMAGNE";;6.40;"F";"P";"N";;"N";;;;;;;"N";;;;;1
159;"D0FI112";"I    112";"2000/2001";9/1/2001 00:00:00;0;"D";"La pochardière";"DOMAGNE";;5.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
173;"D0FI113";"I    113";"2000/2001";10/1/2001 00:00:00;0;"D";"Loseillere";"CHATEAUBOURG";;6.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
178;"D0FI114";"I    114";"2000/2001";12/1/2001 00:00:00;0;"D";"Le chene d et";"DOMAGNE";;6.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
179;"D0FI115";"I    115";"2000/2001";12/1/2001 00:00:00;0;"D";"Hil barras n";"NOYAL SUR VILAINE";;5.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
181;"D0FI117";"I    117";"2000/2001";13/1/2001 00:00:00;0;"D";"Nantillère";"OSSE";;5.20;"F";"P";"N";;"N";;;;;;;"N";;;;;1
83;"D0FI12";"I    12";"2000/2001";12/12/2000 00:00:00;0;"D";"La Roche";"CHATEAUGIRON";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
185;"D0FI121";"I    121";"2000/2001";13/1/2001 00:00:00;0;"D";"La peltrie";"DOMAGNE";;7.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
201;"D0FI130";"I    130";"2000/2001";18/1/2001 00:00:00;0;"D";"La basse neuville";"DOMAGNE";;6.00;"F";"P";"N";;"N";;;;;;;"N";;;;;1
192;"D0FI136";"I    136";"2000/2001";16/1/2001 00:00:00;0;"D";"Beauvais";"SAINT DIDIER";;8.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
193;"D0FI137";"I    137";"2000/2001";16/1/2001 00:00:00;0;"D";"La motte";"TORCE";;6.50;"F";"P";"N";;"N";;;;;;;"N";;;;;1
202;"D0FI139";"I    139";"2000/2001";18/1/2001 00:00:00;0;"D";"Le gace";"SAINT AUBIN DU PAVAIL";;5.20;"F";"P";"N";;"N";;;;;;;"N";;;;;1
85;"D0FI14";"I    14";"2000/2001";12/12/2000 00:00:00;0;"D";"La Richardière n";"NOYAL SUR VILAINE";;;"F";"P";"N";;"N";;;;;;;"N";;;;;12
