"Numéro";"N° Etiquette";"Commune de Prélèvement";"GIC";"Mode Prélt";"Nom";"Date de Mort";"MOIS";"Saison";"saison reprod";"Poids";"Sexe";"Prvt Utérus";"Femelle Allaitante";"Foetus (DSV)";"Femelle non repro";"Phase pré-implan-tatoire";"Nbre d'Emb";"Nbre de res";"Nbre de Cicat Année n";"Nbre de cic de res ou de n-1";"Prvt Dent";"Agedents";"Remarques";"reprod";"nbrepro";"Age"
1;"X";"10438";"B";"A";"RAPENEAU";26/7/2007 00:00:00;7;2.00;3;;"M";;;;;;;;;;"O";0.00;"Jeune Equarrissage";;;0
2;"1";"10427";"B";"C";"JACOB";9/10/2005 00:00:00;10;1.00;1;;"M";;;;;;;;;;"N";;;;;
3;"10";"10296";"S";"A";"BORDOT";9/10/2005 00:00:00;10;1.00;1;;"NI";"N";;;;;;;;;"N";;;;;
4;"11";"10045";"B";"C";"OLIVIER";9/10/2005 00:00:00;10;1.00;1;;"NI";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
5;"15";"10331";"S";"V";"ROY";11/10/2005 00:00:00;10;1.00;1;;"NI";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
6;"21";"10401";"B";"A";"CLEMENT";14/10/2005 00:00:00;10;1.00;1;5.59;"F";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
7;"22";"10401";"B";"A";"CLEMENT";15/10/2005 00:00:00;10;1.00;1;4.50;"F";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
8;"23";"10215";"B";"C";"FEVRE";16/10/2005 00:00:00;10;1.00;1;4.30;"F";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
9;"4";"10069";"B";"C";"MOUGENOT";22/10/2005 00:00:00;10;1.00;1;6.65;"NI";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
10;"12";"10443";"S";"C";"MARTIN";22/10/2005 00:00:00;10;1.00;1;;"NI";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
11;"18";"10246";"S";"C";"ROOTYNE";22/10/2005 00:00:00;10;1.00;1;;"NI";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
12;"36";"10045";"B";"C";"CARRIC";22/10/2005 00:00:00;10;1.00;1;6.05;"NI";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
13;"39";"10443";"S";"C";"MARTIN";22/10/2005 00:00:00;10;1.00;1;6.90;"NI";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
14;"41";"10376";"B";"C";"BRETON";22/10/2005 00:00:00;10;1.00;1;7.15;"NI";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
15;"3";"10097";"B";"A";"MOUGENOT";23/10/2005 00:00:00;10;1.00;1;;"NI";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
16;"13";"10213";"B";"C";"LEBON";23/10/2005 00:00:00;10;1.00;1;4.90;"F";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
17;"14";"10443";"S";"C";"MARTIN";23/10/2005 00:00:00;10;1.00;1;;"NI";"N";;;;;;;;;"N";;"EQUARRISSAGE";;;
18;"52";"10069";"B";"P";"PICART";26/10/2005 00:00:00;10;1.00;1;;"NI";"N";;;;;;;;;"N";;;;;
19;"9";"10296";"S";"C";"MARTY";1/11/2005 00:00:00;11;1.00;1;5.30;"F";"N";"N";;;;;;;;"O";6.00;;;;6
20;"70";"10432";"S";"P";"BERTON";5/11/2005 00:00:00;11;1.00;1;3.79;"F";"N";"N";;;;;;;;"O";0.00;;;;0
21;"45";"10205";"B";"C";"ETIENNE";6/11/2005 00:00:00;11;1.00;1;5.00;"M";;;;;;;;;;"O";5.00;;;;5
22;"69";"10358";"S";"C";"PHILBERT";6/11/2005 00:00:00;11;1.00;1;5.30;"F";"N";"N";;;;;;;;"O";2.00;;;;2
23;"8";"10181";"S";"C";"ROYER";12/11/2005 00:00:00;11;1.00;1;6.69;"M";;;;;;;;;;"O";0.00;;;;0
24;"43";"10252";"B";"C";"OLIVIER";12/11/2005 00:00:00;11;1.00;1;4.00;"M";;;;;;;;;;"O";0.00;;;;0
25;"102";"10376";"B";"C";"CHARDIN";13/11/2005 00:00:00;11;1.00;1;6.09;"M";;;;;;;;;;"O";0.00;;;;0
26;"81";"10083";"S";"C";"COUCHOT";15/11/2005 00:00:00;11;1.00;1;5.00;"F";"N";"N";;;;;;;;"O";0.00;;;;0
27;"93";"10401";"B";"P";"LEFRANC";15/11/2005 00:00:00;11;1.00;1;4.30;"F";"N";"N";;;;;;;;"O";0.00;;;;0
28;"42";"10205";"B";"C";"CHARPENTIER";20/11/2005 00:00:00;11;1.00;1;5.80;"M";;;;;;;;;;"O";0.00;;;;0
29;"44";"10205";"B";"C";"GOBIN";20/11/2005 00:00:00;11;1.00;1;4.69;"M";;;;;;;;;;"O";0.00;;;;0
30;"91";"10097";"B";"C";"DURUP";20/11/2005 00:00:00;11;1.00;1;5.80;"M";;;;;;;;;;"O";0.00;;;;0
31;"92";"10246";"S";"C";"PHILBERT";20/11/2005 00:00:00;11;1.00;1;6.20;"M";;;;;;;;;;"O";0.00;;;;0
32;"37";"10252";"B";"P";"CAILLE";21/11/2005 00:00:00;11;1.00;1;4.69;"F";"N";"N";;;;;;;;"N";;;;;
33;"27";"10358";"S";"P";"BERTOLO";22/11/2005 00:00:00;11;1.00;1;5.15;"M";;;;;;;;;;"O";5.00;;;;5
34;"90";"10432";"S";"P";"THOMAS";23/11/2005 00:00:00;11;1.00;1;7.00;"M";;;;;;;;;;"O";0.00;;;;0
35;"19";"10331";"S";"C";"JOUOT";24/11/2005 00:00:00;11;1.00;1;5.09;"M";;;;;;;;;;"N";;"EQUARRISSAGE";;;
36;"85";"10205";"B";"P";"BATKOWSKI";28/11/2005 00:00:00;11;1.00;1;5.30;"M";;;;;;;;;;"O";0.00;;;;0
37;"40";"10252";"B";"V";"OLIVIER";29/11/2005 00:00:00;11;1.00;1;5.59;"F";"N";"N";;;;;;;;"O";0.00;;;;0
38;"71";"10213";"B";"G";"MOTTARD";30/11/2005 00:00:00;11;1.00;1;5.59;"M";;;;;;;;;;"O";1.00;;;;1
39;"87";"10401";"B";"D";"CHAZELLE";1/12/2005 00:00:00;12;1.00;1;4.80;"M";;;;;;;;;;"O";0.00;;;;0
40;"174";"10310";"B";"P";"GRAUPNER";2/12/2005 00:00:00;12;1.00;1;7.50;"F";"N";"N";;;;;;;;"O";8.00;;;;8
41;"78";"10331";"S";"C";"ROBERT";4/12/2005 00:00:00;12;1.00;1;5.50;"F";"N";"N";;;;;;;;"O";0.00;;;;0
42;"103";"10215";"B";"P";"MAREY";6/12/2005 00:00:00;12;1.00;1;7.19;"M";;;;;;;;;;"O";1.00;;;;1
43;"120";"10055";"B";"T";"BERGERAT";9/12/2005 00:00:00;12;1.00;1;5.80;"F";"N";"N";;;;;;;;"O";2.00;;;;2
44;"121";"10213";"B";"T";"BERGERAT";9/12/2005 00:00:00;12;1.00;1;4.80;"F";"N";"N";;;;;;;;"O";2.00;;;;2
45;"122";"10045";"B";"T";"BAUDOUX";9/12/2005 00:00:00;12;1.00;1;7.59;"M";;;;;;;;;;"O";0.00;;;;0
46;"123";"10438";"B";"T";"BAUDOUX";9/12/2005 00:00:00;12;1.00;1;5.40;"F";"N";"N";;;;;;;;"O";0.00;;;;0
47;"75";"10009";"S";"C";"DECHANNES";10/12/2005 00:00:00;12;1.00;1;5.80;"M";;;;;;;;;;"O";1.00;;;;1
48;"95";"10045";"B";"C";"CARRIC";10/12/2005 00:00:00;12;1.00;1;6.50;"M";;;;;;;;;;"O";0.00;;;;0
49;"106";"10296";"S";"C";"DI FRUSCHIA";10/12/2005 00:00:00;12;1.00;1;7.09;"M";;;;;;;;;;"O";0.00;;;;0
50;"24";"10401";"B";"P";"CHAZELLE";11/12/2005 00:00:00;12;1.00;1;4.50;"F";"N";"N";;;;;;;;"O";0.00;;;;0
51;"108";"10438";"B";"C";"RAPENEAU";12/12/2005 00:00:00;12;1.00;1;5.59;"M";;;;;;;;;;"O";0.00;;;;0
52;"107";"10205";"B";"P";"BATKOWSKI";13/12/2005 00:00:00;12;1.00;1;5.50;"M";;;;;;;;;;"O";0.00;;;;0
53;"113";"10432";"S";"P";"THOMAS";13/12/2005 00:00:00;12;1.00;1;4.69;"F";"N";"N";;;;;;;;"O";0.00;;;;0
54;"116";"10215";"B";"T";"DOSSOT";13/12/2005 00:00:00;12;1.00;1;7.09;"M";;;;;;;;;;"O";0.00;;;;0
55;"117";"10376";"B";"T";"CHASTRAGNAT";13/12/2005 00:00:00;12;1.00;1;5.80;"M";;;;;;;;;;"O";0.00;;;;0
56;"119";"10376";"B";"T";"DOSSOT";13/12/2005 00:00:00;12;1.00;1;7.09;"F";"N";"N";;;;;;;;"O";5.00;;;;5
57;"125";"10401";"B";"T";"CHASTRAGNAT";13/12/2005 00:00:00;12;1.00;1;5.19;"F";"N";"N";;;;;;;;"O";0.00;;;;0
58;"16";"10331";"S";"P";"JOUOT";14/12/2005 00:00:00;12;1.00;1;7.09;"M";;;;;;;;;;"O";2.00;;;;2
59;"17";"10331";"S";"P";"JOUOT";14/12/2005 00:00:00;12;1.00;1;5.40;"F";"N";"N";;;;;;;;"N";;;;;
60;"143";"10376";"B";"T";"BAUDOUX";14/12/2005 00:00:00;12;1.00;1;5.09;"F";"N";"N";;;;;;;;"O";0.00;;;;0
61;"148";"10376";"B";"T";"BERGERAT";14/12/2005 00:00:00;12;1.00;1;6.40;"M";;;;;;;;;;"O";0.00;;;;0
62;"149";"10136";"B";"T";"BERGERAT";14/12/2005 00:00:00;12;1.00;1;6.19;"M";;;;;;;;;;"O";0.00;;;;0
63;"109";"10205";"B";"P";"BATKOWSKI";15/12/2005 00:00:00;12;1.00;1;5.09;"F";"N";"N";;;;;;;;"O";1.00;;;;1
64;"135";"10055";"B";"V";"DOSSOT";15/12/2005 00:00:00;12;1.00;1;5.40;"F";"N";"N";;;;;;;;"O";0.00;;;;0
65;"48";"10252";"B";"P";"CAILLE";16/12/2005 00:00:00;12;1.00;1;5.80;"M";;;;;;;;;;"O";0.00;;;;0
66;"188";"10432";"S";"C";"CHARLOT";16/12/2005 00:00:00;12;1.00;1;5.50;"F";"N";"N";;;;;;;;"N";;;;;
67;"88";"10045";"B";"P";"BILLIOUT";17/12/2005 00:00:00;12;1.00;1;6.50;"M";;;;;;;;;;"O";3.00;;;;3
