"Numéro";"Idren";"N° de Renard";"Saison";"Date";"mois";"Saison Reprod";"Poids";"Sexe";"GIC";"Mode de Prél";"Allait Fdc";"Prél Utérus";"Info Reprod  (KLM)";"Phase préimplantatoire";"Nbre d'Emb";"Nbre de Cicat Année n";"Statut Reprod";"Res ou Cic année  n-1";"Nbre de Resorptions";"Nbre de Cicat Année n-1";"Nbre de corps jaunes";"Age";"Age ReprodCl";"repro";"nbrepro"
2553;"D0FI0";"I    0";"2000/2001";30/11/2000 00:00:00;11;0;;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2554;"D0FI1";"I    1";"2000/2001";30/11/2000 00:00:00;11;0;;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2603;"D0FI100";"I    100";"2000/2001";10/1/2001 00:00:00;1;0;5.60;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2604;"D0FI101";"I    101";"2000/2001";10/1/2001 00:00:00;1;0;5.60;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2607;"D0FI111";"I    111";"2000/2001";11/1/2001 00:00:00;1;0;6.40;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2599;"D0FI112";"I    112";"2000/2001";9/1/2001 00:00:00;1;0;5.50;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2605;"D0FI113";"I    113";"2000/2001";10/1/2001 00:00:00;1;0;6.00;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2608;"D0FI114";"I    114";"2000/2001";12/1/2001 00:00:00;1;0;6.00;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2609;"D0FI115";"I    115";"2000/2001";12/1/2001 00:00:00;1;0;5.50;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2610;"D0FI117";"I    117";"2000/2001";13/1/2001 00:00:00;1;0;5.20;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2563;"D0FI12";"I    12";"2000/2001";12/12/2000 00:00:00;12;0;;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2611;"D0FI121";"I    121";"2000/2001";13/1/2001 00:00:00;1;0;7.00;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2614;"D0FI130";"I    130";"2000/2001";18/1/2001 00:00:00;1;0;6.00;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2612;"D0FI136";"I    136";"2000/2001";16/1/2001 00:00:00;1;0;8.50;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2613;"D0FI137";"I    137";"2000/2001";16/1/2001 00:00:00;1;0;6.50;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2615;"D0FI139";"I    139";"2000/2001";18/1/2001 00:00:00;1;0;5.20;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2564;"D0FI14";"I    14";"2000/2001";12/12/2000 00:00:00;12;0;;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2621;"D0FI142";"I    142";"2000/2001";23/1/2001 00:00:00;1;0;6.00;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2617;"D0FI146";"I    146";"2000/2001";21/1/2001 00:00:00;1;0;7.60;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2622;"D0FI149";"I    149";"2000/2001";23/1/2001 00:00:00;1;0;6.30;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2618;"D0FI151";"I    151";"2000/2001";21/1/2001 00:00:00;1;0;5.60;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2619;"D0FI152";"I    152";"2000/2001";21/1/2001 00:00:00;1;0;5.00;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2620;"D0FI153";"I    153";"2000/2001";22/1/2001 00:00:00;1;0;5.00;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2623;"D0FI154";"I    154";"2000/2001";23/1/2001 00:00:00;1;0;7.10;"F";"D";"P";"N";"N";;;;;;;;;;;;;
2616;"D0FI158";"I    158";"2000/2001";20/1/2001 00:00:00;1;0;7.00;"F";"D";"C";"N";"N";;;;;;;;;;;;;
2624;"D0FI159";"I    159";"2000/2001";24/1/2001 00:00:00;1;0;5.60;"F";"D";"P";"N";"N";;;;;;;;;;;;;
