"Parameter","Year","Age","ParamName","median","lCI","uCI"
"B.tot[10]",2013,NA,"B.tot",72,38,121
"B.tot[11]",2014,NA,"B.tot",68,41,103
"B.tot[12]",2015,NA,"B.tot",89,56,138
"B.tot[13]",2016,NA,"B.tot",129,83,196
"B.tot[14]",2017,NA,"B.tot",103,59,172
"B.tot[15]",2018,NA,"B.tot",102,64,163
"B.tot[16]",2019,NA,"B.tot",100,67,148
"B.tot[17]",2020,NA,"B.tot",58,33,99
"B.tot[18]",2021,NA,"B.tot",46,23,84
"B.tot[19]",2022,NA,"B.tot",41,13,89.125
"B.tot[1]",2004,NA,"B.tot",0,0,0
"B.tot[2]",2005,NA,"B.tot",67,49,91
"B.tot[3]",2006,NA,"B.tot",54,38,78
"B.tot[4]",2007,NA,"B.tot",43,26,66
"B.tot[5]",2008,NA,"B.tot",71,47,103
"B.tot[6]",2009,NA,"B.tot",46,30,67
"B.tot[7]",2010,NA,"B.tot",42,28,61
"B.tot[8]",2011,NA,"B.tot",126,92,175
"B.tot[9]",2012,NA,"B.tot",204,137,306
"B[1, 10]",2013,"0","B",0,0,0
"B[1, 11]",2014,"0","B",0,0,0
"B[1, 12]",2015,"0","B",0,0,0
"B[1, 13]",2016,"0","B",0,0,0
"B[1, 14]",2017,"0","B",0,0,0
"B[1, 15]",2018,"0","B",0,0,0
"B[1, 16]",2019,"0","B",0,0,0
"B[1, 17]",2020,"0","B",0,0,0
"B[1, 18]",2021,"0","B",0,0,0
"B[1, 19]",2022,"0","B",0,0,0
"B[1, 1]",2004,"0","B",0,0,0
"B[1, 2]",2005,"0","B",0,0,0
"B[1, 3]",2006,"0","B",0,0,0
"B[1, 4]",2007,"0","B",0,0,0
"B[1, 5]",2008,"0","B",0,0,0
"B[1, 6]",2009,"0","B",0,0,0
"B[1, 7]",2010,"0","B",0,0,0
"B[1, 8]",2011,"0","B",0,0,0
"B[1, 9]",2012,"0","B",0,0,0
"B[2, 10]",2013,"1","B",9,2,23
"B[2, 11]",2014,"1","B",6,1,16
"B[2, 12]",2015,"1","B",36,18,66
"B[2, 13]",2016,"1","B",69,37,122
"B[2, 14]",2017,"1","B",21,7,51
