Idren	Year	GIC	Weigth	Sex	Mode	Age2+	Age4+	Age	Info	Status	Type	Count
D1Fx483	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx484	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx485	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx489	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx493	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx494	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx498	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx499	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx502	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx503	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx504	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx505	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx512	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx513	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx514	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx515	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx520	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1Fx521	1	D	NA	F	D	0	0	0	NA	NA	NA	NA
D1F2459	1	D	5,5	F	C	0	0	0	NA	NA	NA	NA
D1F2460	1	D	6	F	C	0	0	0	NA	NA	NA	NA
D1F2464	1	D	5,2	F	C	0	0	0	NA	NA	NA	NA
D1F2465	1	D	5,5	F	C	0	0	0	NA	NA	NA	NA
D1F1	1	D	5,1	F	C	0	0	0	NA	NA	NA	NA
D1F3	1	D	5,7	F	P	0	0	0	NA	NA	NA	NA
D1F80	1	D	4,6	F	C	0	0	0	NA	NA	NA	NA
D1F81	1	D	5,4	F	C	0	0	0	NA	NA	NA	NA
D1F344	1	D	5,2	F	C	0	0	0	NA	NA	NA	NA
D1FI254	1	D	6,2	F	C	1	1	1	NA	NA	NA	NA
D1FI255	1	D	6	F	C	1	1	1	NA	NA	NA	NA
D1FI240	1	D	7,9	F	P	1	1	1	NA	NA	NA	NA
D1FI250	1	D	6,5	F	P	1	1	1	NA	NA	NA	NA
D1FI256	1	D	7,5	F	P	1	1	1	NA	NA	NA	NA
D1FI261	1	D	5,7	F	P	1	1	1	NA	NA	NA	NA
D1FI270	1	D	5	F	P	1	1	1	NA	NA	NA	NA
D1FI273	1	D	4,7	F	P	1	1	1	NA	NA	NA	NA
D1FI285	1	D	5,5	F	P	1	1	1	NA	NA	NA	NA
D1FI272	1	D	6,2	F	P	1	1	1	NA	NA	NA	NA
