year	transect	length	distance					
2002	1	10	335					
2002	1	10	149					
2002	1	10	71					
2002	1	10	51					
2002	1	10	75					
2002	1	10	100					
2002	2	10	243					
2002	2	10	285					
2002	2	10	108					
2002	2	10	150					
2002	2	10	105					
2002	2	10	210					
2002	3	10	37					
2002	3	10	272					
2002	3	10	31					
2002	3	10	418					
2002	3	10	240					
2002	3	10	248					
2002	3	10	175					
2002	3	10	175					
2002	3	10	261					
2002	3	10	69					
2002	3	10	52					
2002	4	10	68					
2002	4	10	238					
2002	4	10	111					
2002	4	10	226					
2002	4	10	241					
2002	5	10	275					
2002	5	10	5					
2002	5	10	82					
2002	5	10	132					
2002	5	10	209					
2002	5	10	300					
2002	5	10	231					
2002	5	10	84					
2002	5	10	383					
2002	6	10	81					
2002	6	10	43					
2002	6	10	82					
2002	6	10	102					
2002	6	10	594					
2002	7	10	315					
2002	7	10	316					
2002	7	10	330					
2002	7	10	98					
2002	7	10	276					
2002	7	10	0					
2002	7	10	120					
2002	8	10	48					
2002	8	10	442					
2002	8	10	33					
2002	9	10	133					
2002	9	10	136					
2002	9	10	163					
2002	10	8.5	195					
2002	11	10	124					
2002	11	10	64					
2002	11	10	85					
2002	11	10	114					
2002	11	10	30					
2002	11	10	159					
2002	11	10	50					
2002	11	10	96					
2002	11	10	122					
2002	12	10	NA					
2002	13	10	153					
2002	13	10	10					
2002	13	10	142					
2002	13	10	142					
2002	13	10	193					
2002	14	10	273					
2002	14	10	273					
2002	14	10	111					
2002	14	10	270					
2002	14	10	299					
2002	15	10	180					
2002	15	10	316					
2002	16	7.75	51					
2002	16	7.75	115					
2002	17	9.5	138					
2002	17	9.5	115					
2002	17	9.5	135					
2002	17	9.5	135					
2002	17	9.5	70					
2002	17	9.5	104					
2002	17	9.5	80					
2002	18	10	137					
2002	18	10	155					
2002	18	10	165					
2002	18	10	118					
2002	18	10	32					
2002	19	10	380					
2002	19	10	206					
2002	19	10	206					
2002	20	10	162					
2002	20	10	67					
2002	20	10	67					
2002	20	10	116					
2002	20	10	64					
2002	20	10	344					
2002	20	10	72					
2002	20	10	159					
2002	22	10	135					
2002	23	11.5	30					
2002	23	11.5	70					
2002	23	11.5	243					
2002	24	10	135					
2002	24	10	63					
2002	24	10	243					
2002	25	10	260					
2002	25	10	156					
2002	25	10	81					
2002	26	10	113					
2002	26	10	270					
2002	26	10	165					
2002	27	10	183					
2002	27	10	132					
2002	27	10	98					
2002	28	10	55					
2002	28	10	61					
2002	29	10	176					
2002	30	10	410					
2002	30	10	100					
2002	31	10	108					
2002	31	10	215					
2002	31	10	51					
2002	31	10	376					
2002	31	10	136					
2002	32	10	59					
2002	32	10	56					
2002	32	10	100					
2002	33	10	156					
2002	33	10	92					
2002	33	10	171					
2002	33	10	0					
2002	33	10	146					
2002	34	10	450					
2002	34	10	114					
2002	34	10	130					
2002	34	10	217					
2002	34	10	47					
2002	35	10	118					
2002	35	10	405					
2002	35	10	405					
2002	35	10	260					
2002	35	10	335					
2002	35	10	157					
2002	35	10	206					
2002	35	10	57					
2002	35	10	100					
2002	36	10	189					
2002	36	10	309					
2002	36	10	80					
2002	36	10	80					
2002	36	10	105					
2002	36	10	73					
2002	36	10	73					
