Date	       Julian	Idren	Season	Year	GIC	Class	Site	Weigth	Sex	ModeFDC	Mode	AgeMAT	Age	Info	Status	Type	Count	Periode
03/02/2001	034	D1FI254	1	2001	D	D1	FDC35	6,2	F	C	C	0	1	NA	NA	NA	NA	P1
03/02/2001	034	D1FI255	1	2001	D	D1	FDC35	6	F	C	C	0	1	NA	NA	NA	NA	P1
10/02/2001	041	D1FI274	1	2001	D	D1	FDC35	6,2	F	C	C	3	4	NA	NA	NA	NA	P1
10/02/2001	041	D1MI280	1	2001	D	D1	FDC35	8	M	C	C	0	1	NA	NA	NA	NA	P1
17/02/2001	048	D1FI299	1	2001	D	D1	FDC35	6	F	C	C	0	1	1	R	E	3	P1
17/02/2001	048	D1FI310	1	2001	D	D1	FDC35	6,8	F	C	C	2	3	1	R	E	5	P1
17/02/2001	048	D1FI311	1	2001	D	D1	FDC35	6	F	C	C	1	2	1	R	E	4	P1
24/02/2001	055	D1FI331	1	2001	D	D1	FDC35	6,5	F	C	C	1	2	1	R	E	4	P1
24/02/2001	055	D1MI332	1	2001	D	D1	FDC35	6,5	M	C	C	0	1	NA	NA	NA	NA	P1
06/10/2001	279	D1MI449	1	2001	D	D1	FDC35	6,5	M	C	C	0	0	NA	NA	NA	NA	P3
13/10/2001	286	D1F2459	1	2001	D	D1	FDC35	5,5	F	C	C	0	0	NA	NA	NA	NA	P3
13/10/2001	286	D1F2460	1	2001	D	D1	FDC35	6	F	C	C	0	0	NA	NA	NA	NA	P3
13/10/2001	286	D1M2453	1	2001	D	D1	FDC35	7,5	M	C	C	0	0	NA	NA	NA	NA	P3
13/10/2001	286	D1M2455	1	2001	D	D1	FDC35	6	M	C	C	0	0	NA	NA	NA	NA	P3
13/10/2001	286	D1M2456	1	2001	D	D1	FDC35	7	M	C	C	0	0	NA	NA	NA	NA	P3
13/10/2001	286	D1M2457	1	2001	D	D1	FDC35	7	M	C	C	0	0	NA	NA	NA	NA	P3
13/10/2001	286	D1M2458	1	2001	D	D1	FDC35	7	M	C	C	1	1	NA	NA	NA	NA	P3
17/10/2001	290	D1F2462	1	2001	D	D1	FDC35	6	F	C	C	2	2	NA	NA	NA	NA	P3
17/10/2001	290	D1F2464	1	2001	D	D1	FDC35	5,2	F	C	C	0	0	NA	NA	NA	NA	P3
17/10/2001	290	D1F2465	1	2001	D	D1	FDC35	5,5	F	C	C	0	0	NA	NA	NA	NA	P3
17/10/2001	290	D1M2463	1	2001	D	D1	FDC35	5,5	M	C	C	0	0	NA	NA	NA	NA	P3
