"Numéro";"GIC";"COM";"comm";"saison";"PIEGEUR";"CHASSE";"SAUTEUX";"TIR APP";"GP";"Ch/Tir";"TIR DE NUIT";"DETERRAGE";"Route/NI";"Total";"X";"Y"
1;"SAR";"ARRELLES";"ARRELLES";"2005-06";3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;795030.26;6772586.60
2;"SAR";"ARRELLES";"ARRELLES";"2006-07";2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;795030.26;6772586.60
3;"SAR";"ARRELLES";"ARRELLES";"2007-08";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;795030.26;6772586.60
4;"SAR";"ARRELLES";"ARRELLES";"2008-09";0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;0.00;3.00;795030.26;6772586.60
5;"SAR";"ARRELLES";"ARRELLES";"2009-10";6.00;1.00;0.00;0.00;0.00;1.00;17.00;1.00;1.00;26.00;795030.26;6772586.60
6;"SAR";"ARRELLES";"ARRELLES";"2010-11";10.00;2.00;0.00;0.00;0.00;2.00;16.00;0.00;0.00;28.00;795030.26;6772586.60
7;"SAR";"ARRELLES";"ARRELLES";"2011-12";3.00;4.00;0.00;0.00;0.00;4.00;2.00;0.00;0.00;9.00;795030.26;6772586.60
8;"SAR";"BAR-SUR-SEINE";"AVALLEUR";"2005-06";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;802605.69;6780097.14
9;"SAR";"BAR-SUR-SEINE";"AVALLEUR";"2006-07";3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;4.00;802605.69;6780097.14
10;"SAR";"BAR-SUR-SEINE";"AVALLEUR";"2007-08";8.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;9.00;802605.69;6780097.14
11;"SAR";"BAR-SUR-SEINE";"AVALLEUR";"2008-09";5.00;0.00;0.00;0.00;0.00;0.00;3.00;2.00;0.00;10.00;802605.69;6780097.14
12;"SAR";"BAR-SUR-SEINE";"AVALLEUR";"2009-10";1.00;0.00;0.00;0.00;0.00;0.00;7.00;0.00;1.00;9.00;802605.69;6780097.14
