"Numéro";"GIC";"COMM";"saison";"pieg";"chasse";"louv";"cha/tir";"rout";"deterrage";"tot";"Xcom";"Ycom"
1;"DOM";"AMANLIS";"2005-06";0.00;25.00;8.00;33.00;0.00;19.00;52.00;364864.18;6776137.16
2;"DOM";"BOISTRUDAN";"2005-06";16.00;1.00;0.00;1.00;2.00;12.00;31.00;372058.40;6773041.59
3;"DOM";"BRECE";"2005-06";0.00;2.00;0.00;2.00;0.00;8.00;10.00;366034.71;6788384.37
4;"DOM";"CESSON-SEVIGNE";"2005-06";31.00;6.00;0.00;6.00;3.00;0.00;40.00;358109.07;6789951.86
5;"DOM";"CHANCE";"2005-06";0.00;0.00;0.00;0.00;1.00;0.00;1.00;374498.71;6779295.74
6;"DOM";"CHATEAUBOURG";"2005-06";1.00;3.00;0.00;3.00;0.00;0.00;4.00;372461.21;6789071.04
7;"DOM";"CHATEAUGIRON";"2005-06";1.00;6.00;0.00;6.00;0.00;5.00;12.00;364828.66;6781086.05
8;"DOM";"CHANTEPIE";"2005-06";5.00;2.00;0.00;2.00;1.00;14.00;22.00;357360.28;6785712.34
9;"DOM";"CORNILLE";"2005-06";0.00;3.00;0.00;3.00;0.00;0.00;3.00;378934.67;6784539.29
10;"DOM";"CORPS-NUDS";"2005-06";0.00;24.00;0.00;24.00;0.00;9.00;33.00;359233.81;6774528.61
11;"DOM";"DOMAGNE";"2005-06";7.00;11.00;0.00;11.00;0.00;14.00;32.00;371973.82;6783261.19
12;"DOM";"DOMLOUP";"2005-06";16.00;9.00;14.00;23.00;0.00;5.00;44.00;361800.63;6783969.63
13;"DOM";"ESSE";"2005-06";2.00;6.00;0.00;6.00;1.00;18.00;27.00;369429.86;6770111.31
14;"DOM";"JANZE";"2005-06";0.00;0.00;0.00;0.00;0.00;0.00;0.00;364155.80;6769837.96
15;"DOM";"LOUVIGNE-DE-BAIS";"2005-06";7.00;6.00;0.00;6.00;5.00;4.00;22.00;376907.03;6781318.52
16;"DOM";"MOULINS";"2005-06";3.00;5.00;0.00;5.00;1.00;4.00;13.00;374830.54;6776582.62
17;"DOM";"NOUVOITOU";"2005-06";5.00;21.00;0.00;21.00;0.00;2.00;28.00;360875.57;6779794.63
18;"DOM";"NOYAL-SUR-VILAINE";"2005-06";17.00;13.00;0.00;13.00;1.00;15.00;46.00;364781.08;6786294.37
19;"DOM";"OSSE";"2005-06";0.00;1.00;0.00;1.00;0.00;0.00;1.00;367975.10;6782497.28
20;"DOM";"PIRE-SUR-SEICHE";"2005-06";4.00;31.00;0.00;31.00;0.00;26.00;61.00;369935.87;6777072.98
21;"DOM";"SAINT-ARMEL";"2005-06";8.00;3.00;0.00;3.00;0.00;5.00;16.00;358667.42;6778004.84
22;"DOM";"SAINT-AUBIN-DU-PAVAIL";"2005-06";3.00;9.00;0.00;9.00;0.00;0.00;12.00;367809.80;6780605.37
23;"DOM";"SAINT-DIDIER";"2005-06";8.00;5.00;0.00;5.00;0.00;4.00;17.00;375723.32;6785935.02
24;"DOM";"SERVON-SUR-VILAINE";"2005-06";13.00;15.00;0.00;15.00;0.00;5.00;33.00;368459.66;6789428.92
25;"DOM";"TORCE";"2005-06";4.00;12.00;0.00;12.00;1.00;9.00;26.00;382004.18;6782023.63
26;"VEN";"BALAZE";"2005-06";15.00;6.00;0.00;6.00;0.00;5.00;26.00;389210.74;6794621.83
27;"VEN";"CHATILLON-EN-VENDELAIS";"2005-06";7.00;24.00;0.00;24.00;0.00;16.00;47.00;390880.91;6800201.02
28;"VEN";"COMBOURTILLE";"2005-06";0.00;17.00;0.00;17.00;0.00;4.00;21.00;383718.92;6804752.74
29;"VEN";"LANDAVRAN";"2005-06";2.00;2.00;0.00;2.00;0.00;0.00;4.00;381565.23;6793155.00
30;"VEN";"MECE";"2005-06";0.00;15.00;0.00;15.00;0.00;9.00;24.00;381922.33;6802060.62
31;"VEN";"MONTAUTOUR";"2005-06";1.00;2.00;0.00;2.00;0.00;0.00;3.00;394000.55;6797352.79
32;"VEN";"MONTREUIL-DES-LANDES";"2005-06";1.00;9.00;0.00;9.00;0.00;6.00;16.00;386326.55;6802897.47
33;"VEN";"MONTREUIL-SOUS-PEROUSE";"2005-06";0.00;7.00;0.00;7.00;0.00;12.00;19.00;384643.62;6791893.26
34;"VEN";"PRINCE";"2005-06";3.00;2.00;0.00;2.00;0.00;0.00;5.00;395301.80;6800939.05
35;"VEN";"SAINT-M'HERVE";"2005-06";10.00;6.00;0.00;6.00;0.00;3.00;19.00;394506.40;6793739.61
36;"VEN";"SAINT-CHRISTOPHE-DES-BOIS";"2005-06";0.00;4.00;0.00;4.00;0.00;7.00;11.00;385553.73;6800252.61
37;"VEN";"TAILLIS";"2005-06";16.00;4.00;0.00;4.00;0.00;19.00;39.00;385031.92;6795563.20
38;"VEN";"VAL-D'IZE";"2005-06";5.00;25.00;0.00;25.00;0.00;49.00;79.00;380239.50;6796434.60
39;"FOU";"BEAUCE";"2005-06";0.00;10.00;5.00;15.00;0.00;1.00;16.00;392250.25;6813249.21
40;"FOU";"FLEURIGNE ";"2005-06";7.00;19.00;5.00;24.00;0.00;0.00;31.00;395576.14;6814739.37
41;"FOU";"FOUGERES";"2005-06";0.00;0.00;0.00;0.00;0.00;0.00;0.00;389407.37;6814082.28
42;"FOU";"JAVENE";"2005-06";16.00;25.00;2.00;27.00;2.00;11.00;56.00;388354.37;6810159.15
43;"FOU";"LA CHAPELLE-JANSON";"2005-06";35.00;25.00;0.00;25.00;3.00;11.00;74.00;397385.99;6811738.43
44;"FOU";"LA SELLE-EN-LUITRE";"2005-06";0.00;9.00;6.00;15.00;0.00;0.00;15.00;392443.89;6810327.50
45;"FOU";"LAIGNELET ";"2005-06";9.00;17.00;1.00;18.00;0.00;3.00;30.00;392645.92;6816896.63
46;"FOU";"LANDEAN ";"2005-06";20.00;37.00;0.00;37.00;3.00;6.00;66.00;393223.60;6820588.02
47;"FOU";"LE LOROUX";"2005-06";7.00;14.00;1.00;15.00;2.00;7.00;31.00;397906.71;6818300.46
48;"FOU";"LECOUSSE ";"2005-06";6.00;2.00;0.00;2.00;0.00;9.00;17.00;387490.54;6814973.33
49;"FOU";"LUITRE ";"2005-06";11.00;32.00;4.00;36.00;0.00;47.00;94.00;393833.26;6807209.05
50;"FOU";"PARCE";"2005-06";18.00;36.00;0.00;36.00;0.00;9.00;63.00;388909.92;6804996.55
51;"FOU";"PARIGNE";"2005-06";6.00;22.00;0.00;22.00;3.00;35.00;66.00;389598.58;6822177.38
52;"FOU";"ROMAGNE";"2005-06";11.00;32.00;0.00;32.00;5.00;26.00;74.00;384331.03;6813423.68
53;"DOM";"AMANLIS";"2000-01";24.00;15.00;9.00;24.00;4.00;0.00;52.00;364864.18;6776137.16
54;"DOM";"BOISTRUDAN";"2000-01";24.00;22.00;0.00;22.00;0.00;4.00;50.00;372058.40;6773041.59
55;"DOM";"BRECE";"2000-01";0.00;0.00;0.00;0.00;0.00;0.00;0.00;366034.71;6788384.37
56;"DOM";"CESSON-SEVIGNE";"2000-01";0.00;0.00;0.00;0.00;0.00;0.00;0.00;358109.07;6789951.86
57;"DOM";"CHANCE";"2000-01";2.00;0.00;0.00;0.00;0.00;0.00;2.00;374498.71;6779295.74
58;"DOM";"CHATEAUBOURG";"2000-01";3.00;0.00;0.00;0.00;0.00;0.00;3.00;372461.21;6789071.04
59;"DOM";"CHATEAUGIRON";"2000-01";9.00;7.00;0.00;7.00;0.00;0.00;16.00;364828.66;6781086.05
60;"DOM";"CHANTEPIE";"2000-01";24.00;2.00;0.00;2.00;0.00;0.00;26.00;357360.28;6785712.34
61;"DOM";"CORNILLE";"2000-01";1.00;3.00;0.00;3.00;0.00;0.00;4.00;378934.67;6784539.29
62;"DOM";"CORPS-NUDS";"2000-01";13.00;24.00;0.00;24.00;4.00;5.00;46.00;359233.81;6774528.61
63;"DOM";"DOMAGNE";"2000-01";42.00;13.00;2.00;15.00;0.00;13.00;70.00;371973.82;6783261.19
64;"DOM";"DOMLOUP";"2000-01";19.00;2.00;13.00;15.00;2.00;1.00;37.00;361800.63;6783969.63
65;"DOM";"ESSE";"2000-01";23.00;11.00;0.00;11.00;3.00;2.00;39.00;369429.86;6770111.31
66;"DOM";"JANZE";"2000-01";3.00;0.00;0.00;0.00;0.00;0.00;3.00;364155.80;6769837.96
67;"DOM";"LOUVIGNE-DE-BAIS";"2000-01";11.00;10.00;0.00;10.00;6.00;17.00;44.00;376907.03;6781318.52
68;"DOM";"MOULINS";"2000-01";22.00;3.00;0.00;3.00;0.00;0.00;25.00;374830.54;6776582.62
69;"DOM";"NOUVOITOU";"2000-01";15.00;18.00;0.00;18.00;5.00;2.00;40.00;360875.57;6779794.63
70;"DOM";"NOYAL-SUR-VILAINE";"2000-01";53.00;16.00;7.00;23.00;0.00;15.00;91.00;364781.08;6786294.37
71;"DOM";"OSSE";"2000-01";11.00;5.00;5.00;10.00;0.00;0.00;21.00;367975.10;6782497.28
72;"DOM";"PIRE-SUR-SEICHE";"2000-01";23.00;50.00;0.00;50.00;9.00;3.00;85.00;369935.87;6777072.98
73;"DOM";"SAINT-ARMEL";"2000-01";7.00;3.00;3.00;6.00;0.00;2.00;15.00;358667.42;6778004.84
74;"DOM";"SAINT-AUBIN-DU-PAVAIL";"2000-01";11.00;3.00;0.00;3.00;0.00;0.00;14.00;367809.80;6780605.37
75;"DOM";"SAINT-DIDIER";"2000-01";11.00;15.00;0.00;15.00;0.00;0.00;26.00;375723.32;6785935.02
76;"DOM";"SERVON-SUR-VILAINE";"2000-01";2.00;0.00;0.00;0.00;2.00;0.00;4.00;368459.66;6789428.92
77;"DOM";"TORCE";"2000-01";19.00;6.00;2.00;8.00;0.00;0.00;27.00;382004.18;6782023.63
